layout,family,bpw_kernel,med_ms,min_ms,max_ms,gb_read,gbps,pct_byte_bound,ratio_vs_fp16,ratio_lo,ratio_hi
nullk,floor,0.159,2.340,2.332,2.343,0.07,31,5,4.75,4.74,4.76
FP16,control,16.000,11.109,11.106,11.111,7.27,654,100,1.00,1.00,1.00
cuBLASf16,control,16.000,10.816,10.811,10.826,7.27,672,103,1.03,1.03,1.03
Slot32,ours,5.510,5.866,5.851,5.871,2.50,428,65,1.89,1.89,1.90
Planes14,ours,4.804,5.135,5.129,5.141,2.18,425,65,2.16,2.16,2.17
Tetra48,ours,2.148,4.107,4.105,4.124,0.95,232,35,2.70,2.69,2.71
Planes12x,ours,4.342,5.543,5.530,5.554,1.97,357,55,2.00,2.00,2.01
Golay70v1,ours,3.589,8.245,8.225,8.247,1.63,198,30,1.35,1.35,1.35
Golay70v2,ours,3.589,6.240,6.232,6.264,1.63,262,40,1.78,1.77,1.78
AWQ,competitor,4.179,3.249,3.246,3.257,1.90,585,89,3.42,3.41,3.42
QTIP,competitor,2.000,2.246,2.245,2.248,0.91,405,62,4.95,4.94,4.95
