layer,projection,gradient,curvature,optimal_scale,gain_nll,step
0,self_attn.q_proj,0.0000000000e0,2.3853505215e-3,1.00000000,0.0000000000e0,0.01
0,self_attn.k_proj,-9.9389605435e-7,5.9633763261e-4,1.00166667,-8.2824671196e-10,0.01
0,self_attn.v_proj,-3.7965735712e-1,2.0591538303e0,1.03000000,-1.0463101490e-2,0.01
0,self_attn.o_proj,-3.7965835102e-1,2.0573648174e0,1.03000000,-1.0463936363e-2,0.01
0,mlp.gate_proj,4.1205936215e-2,1.5069451866e0,0.97265598,-5.6336792954e-4,0.01
0,mlp.up_proj,-9.0983231940e-2,5.9753030350e-1,1.03000000,-2.4606083216e-3,0.01
0,mlp.down_proj,-9.0976274668e-2,6.0130710848e-1,1.03000000,-2.4587000412e-3,0.01
1,self_attn.q_proj,-7.9511683682e-6,1.1926752608e-3,1.00666667,-2.6503894437e-8,0.01
1,self_attn.k_proj,-1.0932856531e-5,9.9389604991e-4,1.01100000,-6.0130710824e-8,0.01
1,self_attn.v_proj,-2.0136333913e-2,2.4847401177e-1,1.03000000,-4.9227671211e-4,0.01
1,self_attn.o_proj,-2.0133352225e-2,2.4946790782e-1,1.03000000,-4.9174000824e-4,0.01
1,mlp.gate_proj,1.5926090868e-1,1.2012227625e0,0.97000000,-4.2372770174e-3,0.01
1,mlp.up_proj,-1.6549064911e-1,7.4919884028e-1,1.03000000,-4.6275799951e-3,0.01
1,mlp.down_proj,-1.6548766742e-1,7.5059029474e-1,1.03000000,-4.6268643900e-3,0.01
2,self_attn.q_proj,6.9572723138e-6,2.5841297280e-3,0.99730769,-9.3655588426e-9,0.01
2,self_attn.k_proj,-1.0932856531e-5,-1.9877920643e-4,1.03000000,-4.1743633883e-7,0.01
2,self_attn.v_proj,-2.5434793740e-2,6.0568025108e-1,1.03000000,-4.9048769922e-4,0.01
2,self_attn.o_proj,-2.5446720493e-2,6.0607780950e-1,1.03000000,-4.9066660051e-4,0.01
