layer,projection,gradient,curvature,optimal_scale,gain_nll,step
0,self_attn.v_proj,-2.9663821421e-2,0.0000000000e0,1.12000000,-3.5596585705e-3,0.04
0,self_attn.o_proj,-2.9673760381e-2,0.0000000000e0,1.12000000,-3.5608512457e-3,0.04
0,mlp.gate_proj,-5.0521723864e-2,0.0000000000e0,1.12000000,-6.0626068637e-3,0.04
0,mlp.up_proj,-4.3139064027e-2,0.0000000000e0,1.12000000,-5.1766876832e-3,0.04
0,mlp.down_proj,-4.3135088442e-2,0.0000000000e0,1.12000000,-5.1762106131e-3,0.04
1,self_attn.v_proj,-9.9667895599e-3,0.0000000000e0,1.12000000,-1.1960147472e-3,0.04
1,self_attn.o_proj,-9.9588383916e-3,0.0000000000e0,1.12000000,-1.1950606070e-3,0.04
1,mlp.gate_proj,-8.5160988896e-2,0.0000000000e0,1.12000000,-1.0219318668e-2,0.04
1,mlp.up_proj,9.5433898439e-3,0.0000000000e0,0.88000000,-1.1452067813e-3,0.04
1,mlp.down_proj,9.5453776360e-3,0.0000000000e0,0.88000000,-1.1454453163e-3,0.04
2,self_attn.v_proj,-1.3350011704e-2,0.0000000000e0,1.12000000,-1.6020014045e-3,0.04
2,self_attn.o_proj,-1.3348023912e-2,0.0000000000e0,1.12000000,-1.6017628694e-3,0.04
2,mlp.gate_proj,5.1569290298e-2,0.0000000000e0,0.88000000,-6.1883148357e-3,0.04
2,mlp.up_proj,-1.9118584361e-2,0.0000000000e0,1.12000000,-2.2942301234e-3,0.04
2,mlp.down_proj,-1.9126535530e-2,0.0000000000e0,1.12000000,-2.2951842636e-3,0.04
3,self_attn.v_proj,1.5300035748e-2,0.0000000000e0,0.88000000,-1.8360042898e-3,0.04
3,self_attn.o_proj,1.5302023541e-2,0.0000000000e0,0.88000000,-1.8362428249e-3,0.04
3,mlp.gate_proj,7.2129023927e-2,0.0000000000e0,0.88000000,-8.6554828713e-3,0.04
3,mlp.up_proj,1.9321339155e-3,0.0000000000e0,0.88000000,-2.3185606986e-4,0.04
3,mlp.down_proj,1.9341217076e-3,0.0000000000e0,0.88000000,-2.3209460491e-4,0.04
4,self_attn.v_proj,-1.8104810393e-2,0.0000000000e0,1.12000000,-2.1725772472e-3,0.04
4,self_attn.o_proj,-1.8108785977e-2,0.0000000000e0,1.12000000,-2.1730543173e-3,0.04
4,mlp.gate_proj,-2.3116034263e-2,0.0000000000e0,1.12000000,-2.7739241115e-3,0.04
4,mlp.up_proj,-2.3326740225e-2,0.0000000000e0,1.12000000,-2.7992088269e-3,0.04
4,mlp.down_proj,-2.3332703601e-2,0.0000000000e0,1.12000000,-2.7999244321e-3,0.04
5,self_attn.v_proj,-1.2093727101e-2,0.0000000000e0,1.12000000,-1.4512472521e-3,0.04
5,self_attn.o_proj,-1.2089751516e-2,0.0000000000e0,1.12000000,-1.4507701820e-3,0.04
5,mlp.gate_proj,6.7247006544e-3,0.0000000000e0,0.88000000,-8.0696407853e-4,0.04
5,mlp.up_proj,-3.4150268177e-2,0.0000000000e0,1.12000000,-4.0980321812e-3,0.04
