layer,projection,gradient,curvature,optimal_scale,gain_nll,step
0,self_attn.v_proj,-3.4775428791e-2,0.0000000000e0,1.12000000,-4.1730514549e-3,0.04
0,self_attn.o_proj,-3.4772447102e-2,0.0000000000e0,1.12000000,-4.1726936523e-3,0.04
0,mlp.gate_proj,-2.1527788379e-3,0.0000000000e0,1.12000000,-2.5833346055e-4,0.04
0,mlp.up_proj,-4.4218435134e-3,0.0000000000e0,1.12000000,-5.3062122161e-4,0.04
0,mlp.down_proj,-4.4218435134e-3,0.0000000000e0,1.12000000,-5.3062122161e-4,0.04
1,self_attn.v_proj,7.2395388068e-3,0.0000000000e0,0.88000000,-8.6874465681e-4,0.04
1,self_attn.o_proj,7.2455021831e-3,0.0000000000e0,0.88000000,-8.6946026197e-4,0.04
1,mlp.gate_proj,-3.4724740092e-2,0.0000000000e0,1.12000000,-4.1669688111e-3,0.04
1,mlp.up_proj,-9.2313064851e-3,0.0000000000e0,1.12000000,-1.1077567782e-3,0.04
1,mlp.down_proj,-9.2253431088e-3,0.0000000000e0,1.12000000,-1.1070411731e-3,0.04
2,self_attn.v_proj,-2.2732390388e-2,0.0000000000e0,1.12000000,-2.7278868466e-3,0.04
2,self_attn.o_proj,-2.2726427012e-2,0.0000000000e0,1.12000000,-2.7271712415e-3,0.04
2,mlp.gate_proj,2.8057685408e-3,0.0000000000e0,0.88000000,-3.3669222490e-4,0.04
2,mlp.up_proj,-6.3688858696e-3,0.0000000000e0,1.12000000,-7.6426630435e-4,0.04
2,mlp.down_proj,-6.3718675577e-3,0.0000000000e0,1.12000000,-7.6462410693e-4,0.04
3,self_attn.v_proj,1.0036362283e-2,0.0000000000e0,0.88000000,-1.2043634740e-3,0.04
3,self_attn.o_proj,1.0045307348e-2,0.0000000000e0,0.88000000,-1.2054368817e-3,0.04
3,mlp.gate_proj,2.3477812424e-2,0.0000000000e0,0.88000000,-2.8173374908e-3,0.04
3,mlp.up_proj,-7.0338023251e-3,0.0000000000e0,1.12000000,-8.4405627901e-4,0.04
3,mlp.down_proj,-7.0308206369e-3,0.0000000000e0,1.12000000,-8.4369847643e-4,0.04
4,self_attn.v_proj,-1.6414193217e-2,0.0000000000e0,1.12000000,-1.9697031861e-3,0.04
4,self_attn.o_proj,-1.6423138282e-2,0.0000000000e0,1.12000000,-1.9707765938e-3,0.04
4,mlp.gate_proj,-7.6301399533e-3,0.0000000000e0,1.12000000,-9.1561679439e-4,0.04
4,mlp.up_proj,-4.5381293509e-3,0.0000000000e0,1.12000000,-5.4457552211e-4,0.04
4,mlp.down_proj,-4.5440927272e-3,0.0000000000e0,1.12000000,-5.4529112726e-4,0.04
5,self_attn.v_proj,1.6652728268e-2,0.0000000000e0,0.88000000,-1.9983273922e-3,0.04
5,self_attn.o_proj,1.6658691645e-2,0.0000000000e0,0.88000000,-1.9990429974e-3,0.04
5,mlp.gate_proj,-6.9026080468e-3,0.0000000000e0,1.12000000,-8.2831296562e-4,0.04
5,mlp.up_proj,-1.4216689057e-2,0.0000000000e0,1.12000000,-1.7060026869e-3,0.04
5,mlp.down_proj,-1.4210725681e-2,0.0000000000e0,1.12000000,-1.7052870817e-3,0.04
6,self_attn.v_proj,-1.1715052707e-2,0.0000000000e0,1.12000000,-1.4058063248e-3,0.04
6,self_attn.o_proj,-1.1721016083e-2,0.0000000000e0,1.12000000,-1.4065219300e-3,0.04
6,mlp.gate_proj,-3.7485783311e-2,0.0000000000e0,1.12000000,-4.4982939973e-3,0.04
6,mlp.up_proj,-1.6965805523e-2,0.0000000000e0,1.12000000,-2.0358966628e-3,0.04
6,mlp.down_proj,-1.6944933706e-2,0.0000000000e0,1.12000000,-2.0333920448e-3,0.04
7,self_attn.v_proj,-2.9399445072e-3,0.0000000000e0,1.12000000,-3.5279334086e-4,0.04
7,self_attn.o_proj,-2.9369628191e-3,0.0000000000e0,1.12000000,-3.5243553829e-4,0.04
7,mlp.gate_proj,-6.6282927379e-3,0.0000000000e0,1.12000000,-7.9539512854e-4,0.04
7,mlp.up_proj,1.4991927974e-2,0.0000000000e0,0.88000000,-1.7990313569e-3,0.04
7,mlp.down_proj,1.4991927974e-2,0.0000000000e0,0.88000000,-1.7990313569e-3,0.04
8,self_attn.v_proj,-8.8526320912e-3,0.0000000000e0,1.12000000,-1.0623158509e-3,0.04
8,self_attn.o_proj,-8.8436870267e-3,0.0000000000e0,1.12000000,-1.0612424432e-3,0.04
8,mlp.gate_proj,-2.7288409868e-2,0.0000000000e0,1.12000000,-3.2746091842e-3,0.04
8,mlp.up_proj,-2.1396594101e-2,0.0000000000e0,1.12000000,-2.5675912921e-3,0.04
8,mlp.down_proj,-2.1387649037e-2,0.0000000000e0,1.12000000,-2.5665178844e-3,0.04
9,self_attn.v_proj,-1.0796692759e-2,0.0000000000e0,1.12000000,-1.2956031311e-3,0.04
9,self_attn.o_proj,-1.0790729383e-2,0.0000000000e0,1.12000000,-1.2948875260e-3,0.04
9,mlp.gate_proj,-1.6763050730e-2,0.0000000000e0,1.12000000,-2.0115660876e-3,0.04
9,mlp.up_proj,1.3581589483e-2,0.0000000000e0,0.88000000,-1.6297907380e-3,0.04
9,mlp.down_proj,1.3581589483e-2,0.0000000000e0,0.88000000,-1.6297907380e-3,0.04
10,self_attn.v_proj,8.0147777235e-3,0.0000000000e0,0.88000000,-9.6177332682e-4,0.04
10,self_attn.o_proj,8.0028509709e-3,0.0000000000e0,0.88000000,-9.6034211651e-4,0.04
10,mlp.gate_proj,-2.7529926608e-2,0.0000000000e0,1.12000000,-3.3035911929e-3,0.04
10,mlp.up_proj,2.2648903120e-2,0.0000000000e0,0.88000000,-2.7178683744e-3,0.04
10,mlp.down_proj,2.2648903120e-2,0.0000000000e0,0.88000000,-2.7178683744e-3,0.04
11,self_attn.v_proj,-1.7180487070e-2,0.0000000000e0,1.12000000,-2.0616584483e-3,0.04
11,self_attn.o_proj,-1.7183468758e-2,0.0000000000e0,1.12000000,-2.0620162509e-3,0.04
11,mlp.gate_proj,6.0346386289e-2,0.0000000000e0,0.88000000,-7.2415663547e-3,0.04
