layer,projection,gradient,curvature,optimal_scale,gain_nll,step
0,self_attn.q_proj,0.0000000000e0,-1.1926752563e-3,1.03000000,-5.3670386535e-7,0.01
0,self_attn.k_proj,1.4908440704e-6,-2.6835193268e-3,0.97000000,-1.2523090192e-6,0.01
0,self_attn.v_proj,-4.6356007362e-1,1.9112620985e0,1.03000000,-1.3046734264e-2,0.01
0,self_attn.o_proj,-4.6353472927e-1,1.9115602673e0,1.03000000,-1.3045839758e-2,0.01
0,mlp.gate_proj,9.1780833518e-2,7.6480300821e-1,0.97000000,-2.4092636518e-3,0.01
0,mlp.up_proj,-8.7941910036e-2,4.5381293508e-1,1.03000000,-2.4340414803e-3,0.01
0,mlp.down_proj,-8.7929983283e-2,4.5679462322e-1,1.03000000,-2.4323419181e-3,0.01
1,self_attn.q_proj,-5.9633762817e-6,-1.1926752563e-3,1.03000000,-7.1560515380e-7,0.01
1,self_attn.k_proj,1.1926752563e-5,-5.9633762817e-4,0.97000000,-6.2615450958e-7,0.01
1,self_attn.v_proj,-7.0174030403e-3,4.3145027403e-1,1.01626469,-5.7067926936e-5,0.01
1,self_attn.o_proj,-7.0129305081e-3,4.2995942996e-1,1.01631068,-5.7192831328e-5,0.01
1,mlp.gate_proj,1.2789205860e-1,8.3815253649e-1,0.97000000,-3.4595931165e-3,0.01
1,mlp.up_proj,-1.9710002204e-1,6.0259917333e-1,1.03000000,-5.6418310332e-3,0.01
1,mlp.down_proj,-1.9709405866e-1,6.0259917333e-1,1.03000000,-5.6416521319e-3,0.01
2,self_attn.q_proj,-4.4725322113e-6,-2.0871816986e-3,1.03000000,-1.0734077307e-6,0.01
2,self_attn.k_proj,-1.0435908493e-5,-2.6835193268e-3,1.03000000,-1.5206609518e-6,0.01
2,self_attn.v_proj,-1.4924839991e-2,5.0122177653e-1,1.02977692,-2.2220787202e-4,0.01
2,self_attn.o_proj,-1.4906949862e-2,5.0062543890e-1,1.02977665,-2.2193953495e-4,0.01
2,mlp.gate_proj,1.6329960527e-1,6.4195745679e-1,0.97000000,-4.6101073026e-3,0.01
2,mlp.up_proj,-1.4324477083e-1,2.9369628190e-1,1.03000000,-4.1651797982e-3,0.01
2,mlp.down_proj,-1.4323135324e-1,2.9578346360e-1,1.03000000,-4.1638380385e-3,0.01
3,self_attn.q_proj,8.9450644225e-6,-2.3853505127e-3,0.97000000,-1.3417596634e-6,0.01
3,self_attn.k_proj,-1.4908440704e-6,-8.9450644225e-4,1.03000000,-4.4725322113e-7,0.01
3,self_attn.v_proj,2.2018276079e-2,1.3864849856e-1,0.97000000,-5.9815645800e-4,0.01
3,self_attn.o_proj,2.2025730299e-2,1.3954300500e-1,0.97000000,-5.9797755672e-4,0.01
3,mlp.gate_proj,1.3099152342e-1,7.7225722857e-1,0.97000000,-3.5822299497e-3,0.01
3,mlp.up_proj,-1.1507676296e-1,3.4498131793e-1,1.03000000,-3.2970612959e-3,0.01
3,mlp.down_proj,-1.1508123550e-1,3.4766483726e-1,1.03000000,-3.2959878881e-3,0.01
4,self_attn.q_proj,-1.4908440704e-6,-8.9450644225e-4,1.03000000,-4.4725322113e-7,0.01
