seed,family,layer,blocks,disagree,disagree_pct,euclid_lower,occ_served_pct,occ_euclid_pct,mean_cos,euclid_served_centroids_pct,served_shrunk_centroids_pct,euclid_shrunk_centroids_pct
seed-1,gate_proj,0,168,19,11.3095,19,62.5000,51.1905,0.961115,-1.3307,+0.9087,-0.0665
seed-1,gate_proj,13,168,14,8.3333,14,57.1429,48.8095,0.961049,-0.6475,-0.2760,-0.7886
seed-1,gate_proj,27,168,23,13.6905,23,57.7381,44.0476,0.960635,-1.2830,-0.3975,-1.2286
seed-1,q_proj,0,168,18,10.7143,18,63.0952,52.3810,0.959750,-1.5287,+0.7429,-0.1645
seed-1,q_proj,13,168,15,8.9286,15,51.7857,42.8571,0.961205,-0.8864,+0.5227,-0.1933
seed-1,q_proj,27,168,18,10.7143,18,52.3810,41.6667,0.961972,-1.2836,+0.7033,-0.3925
seed-2,gate_proj,0,168,13,7.7381,13,60.1190,52.3810,0.960877,-0.7260,+0.8572,+0.1341
seed-2,gate_proj,13,168,16,9.5238,16,57.1429,47.6190,0.961158,-1.2143,-0.3745,-0.9463
seed-2,gate_proj,27,168,27,16.0714,27,54.1667,38.0952,0.961328,-1.4626,-0.5947,-1.3150
seed-2,q_proj,0,168,14,8.3333,14,59.5238,51.1905,0.961213,-1.2571,+1.0483,+0.1700
seed-2,q_proj,13,168,11,6.5476,11,52.3810,45.8333,0.960991,-0.7518,+1.3222,-0.1600
seed-2,q_proj,27,168,16,9.5238,16,52.3810,42.8571,0.961756,-0.8396,+0.7578,-0.4164
