# llvq-mmlu-dump v1
# model=/model/qwen3-4b-llvq.bin [LLVQ 2-bit, sealed; f16 restored: q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj (252 matrices, 3633315840 weights) from Qwen/Qwen3-4B@main]
# dtype=f16
# limit=40
subject,index,population,qhash,answer,pick,correct,logit_a,logit_b,logit_c,logit_d
abstract_algebra,40,100,bec320bbf00fda34,2,2,1,23.734375,28.359375,28.609375,21.546875
abstract_algebra,56,100,1ea56ef2628eace7,3,3,1,22.9375,23.25,24.921875,26.0625
abstract_algebra,13,100,b6439a63c097c757,2,1,0,22.328125,25.375,25.140625,23.765625
abstract_algebra,31,100,e8c0b9fe514c0dee,1,3,0,22.921875,26.53125,24.875,26.953125
abstract_algebra,16,100,44368c23f2cb5842,2,3,0,23.296875,25.96875,26.671875,27.46875
abstract_algebra,30,100,6fe2c1e4ad036317,1,3,0,22.25,24.140625,24.109375,26.609375
abstract_algebra,72,100,c43b3da4e6c7adf5,3,0,0,27.84375,24.34375,24.421875,23.765625
abstract_algebra,24,100,f069226d17f5b6c1,1,0,0,30.609375,23.53125,24.96875,23.1875
abstract_algebra,61,100,a4e2020ebc69a28d,3,3,1,22.453125,23.765625,25.1875,27.484375
abstract_algebra,42,100,37fd2c9878288d41,1,3,0,22.703125,26.75,25.1875,27.265625
abstract_algebra,68,100,2163eb04709cac5f,0,0,1,27.6875,24.109375,22.203125,22.03125
abstract_algebra,1,100,9e923a04c3e16bcd,2,2,1,24.703125,23.28125,25.78125,25.21875
abstract_algebra,98,100,4b1f8d17e2137273,2,3,0,23.546875,25.265625,24.1875,27.109375
abstract_algebra,44,100,2c5f3c67713fafd9,2,2,1,24.765625,23.34375,30.625,23.5
abstract_algebra,83,100,ac879655422a5d2b,2,2,1,23.125,24.171875,27.6875,25.328125
abstract_algebra,11,100,3451dc9483f36f8e,2,2,1,25.125,24.328125,27.734375,22.09375
abstract_algebra,82,100,8e07c0586a1baa69,0,0,1,29.78125,23.984375,24.53125,22.890625
abstract_algebra,77,100,e0aeb905a0a0c18b,0,0,1,30.4375,22.4375,22.390625,21.875
abstract_algebra,2,100,dab158f66e079532,3,3,1,23.765625,22.6875,25.328125,25.609375
abstract_algebra,94,100,01bc05e509060046,3,3,1,23.578125,23.578125,24.890625,26.125
abstract_algebra,7,100,5cab746ef9b2b262,3,2,0,23.125,24.03125,28.25,24.796875
abstract_algebra,6,100,30929a6c7a29b8f4,0,0,1,27.8125,24.125,24.40625,23.609375
abstract_algebra,99,100,76b2f1c487c16fc2,2,2,1,22.46875,27.453125,27.875,26.796875
abstract_algebra,46,100,8bddff4fe9066610,1,2,0,23.234375,23.078125,25.265625,24.90625
abstract_algebra,81,100,9d7b0ae13c04cec1,3,0,0,27.359375,23.640625,24.5625,23.078125
abstract_algebra,85,100,f86e2f339e6c1354,2,2,1,22.921875,23.234375,27.078125,25.359375
abstract_algebra,58,100,34946a8814e172a1,0,0,1,28.296875,22.96875,24.75,23.296875
abstract_algebra,75,100,212cfb93a2f08b7e,1,1,1,22.609375,26.765625,25.796875,26.203125
abstract_algebra,43,100,135e7a15b58ca7cc,2,2,1,24.234375,23.375,28.8125,24.625
abstract_algebra,17,100,736bb170a2c9292a,2,3,0,23.28125,23.8125,24.265625,26.859375
abstract_algebra,69,100,be1e8cea7da078b7,0,0,1,25.890625,22.578125,25.875,23.03125
abstract_algebra,80,100,fae2883618fccf48,1,2,0,22.8125,26.53125,27.859375,25.59375
abstract_algebra,73,100,85513c3537b1cbf3,1,1,1,24.328125,31.9375,23.609375,22.578125
abstract_algebra,28,100,5b48f21c9cebd1bc,3,2,0,23.890625,24.78125,25.484375,24.3125
abstract_algebra,15,100,e81fb23a92244db7,1,0,0,27.453125,23.8125,24.125,23.140625
abstract_algebra,76,100,f40482f537a821b7,2,2,1,24.265625,23.171875,27.953125,23.46875
abstract_algebra,22,100,1326ba2fe7d2be57,3,3,1,23.5625,24.09375,25.625,28
abstract_algebra,4,100,75d0e3b0262ae9d1,1,2,0,23.875,24.859375,27.1875,22.21875
abstract_algebra,9,100,b2b3d2496fc06473,2,2,1,23.515625,23.796875,24.953125,24.828125
abstract_algebra,70,100,80eb2ac0bcbc6915,3,2,0,22.453125,24.78125,27.703125,24.015625
anatomy,20,135,56bdf90594a1d00c,2,2,1,22.078125,22.3125,32.125,21.671875
anatomy,78,135,30755684eabfd601,2,2,1,21.53125,21.46875,32.6875,22.28125
anatomy,1,135,c659ff57338b24c1,1,1,1,24.328125,28.328125,22.53125,24.171875
anatomy,132,135,af55fa4ce3aaf111,0,1,0,24.4375,29.953125,24.8125,22.140625
anatomy,46,135,8c6d933e5cef93bf,1,1,1,23.46875,29.640625,23.109375,22.4375
anatomy,51,135,8b11c89d17550084,3,3,1,24.375,22.1875,22.34375,29.484375
anatomy,129,135,5531298fb7c6a057,0,3,0,23.40625,25.84375,25.578125,26.34375
anatomy,27,135,59bf276e42fa6220,0,0,1,26.53125,23.015625,21.96875,25
anatomy,97,135,174746aa76054608,2,0,0,27.3125,25.28125,25.046875,21.390625
