# llvq-mmlu-dump v1
# model=qwen3-4b-f16.gguf [vLLM arm f16]
# revision=main (NON ÉPINGLÉE)
# dtype=f16
# scores=logprob  ⚠️ colonnes logit_* = LOGPROBS, pas des logits
# engine=llama.cpp
subject,index,population,qhash,answer,pick,correct,logit_a,logit_b,logit_c,logit_d
abstract_algebra,40,100,bec320bbf00fda34,2,2,1,-5.448098,-0.819724,-0.590310,-7.646424
abstract_algebra,56,100,1ea56ef2628eace7,3,3,1,-3.413790,-3.170015,-1.405306,-0.386415
abstract_algebra,13,100,b6439a63c097c757,2,1,0,-3.750773,-0.721272,-0.951663,-2.321359
abstract_algebra,31,100,e8c0b9fe514c0dee,1,3,0,-4.592303,-1.057500,-2.598666,-0.565822
abstract_algebra,16,100,44368c23f2cb5842,2,3,0,-4.702334,-1.992454,-1.387408,-0.503356
abstract_algebra,30,100,6fe2c1e4ad036317,1,3,0,-4.652514,-2.720909,-2.579502,-0.164204
abstract_algebra,72,100,c43b3da4e6c7adf5,3,0,0,-0.083188,-3.575351,-3.335071,-4.138457
abstract_algebra,24,100,f069226d17f5b6c1,1,0,0,-0.005102,-7.039303,-5.635899,-7.427811
abstract_algebra,61,100,a4e2020ebc69a28d,3,3,1,-5.142724,-3.841655,-2.354729,-0.130583
abstract_algebra,42,100,37fd2c9878288d41,1,3,0,-5.019565,-1.057473,-2.471492,-0.577939
abstract_algebra,68,100,2163eb04709cac5f,0,0,1,-0.036333,-3.605831,-5.511021,-5.675915
abstract_algebra,1,100,9e923a04c3e16bcd,2,2,1,-1.762383,-3.164287,-0.691976,-1.263255
abstract_algebra,98,100,4b1f8d17e2137273,2,3,0,-3.762244,-2.074274,-3.119934,-0.215668
abstract_algebra,44,100,2c5f3c67713fafd9,2,2,1,-5.821444,-7.156261,-0.004776,-6.941259
abstract_algebra,83,100,ac879655422a5d2b,2,2,1,-4.664238,-3.645083,-0.126568,-2.487381
abstract_algebra,11,100,3451dc9483f36f8e,2,2,1,-2.711480,-3.487778,-0.105920,-5.756724
abstract_algebra,82,100,8e07c0586a1baa69,0,0,1,-0.010372,-5.660056,-5.165829,-6.842989
abstract_algebra,77,100,e0aeb905a0a0c18b,0,0,1,-0.000998,-7.951861,-7.988774,-8.472400
abstract_algebra,2,100,dab158f66e079532,3,3,1,-2.506269,-3.500971,-0.991049,-0.663809
abstract_algebra,94,100,01bc05e509060046,3,3,1,-2.798513,-2.920648,-1.559614,-0.393394
abstract_algebra,7,100,5cab746ef9b2b262,3,2,0,-5.128056,-4.302137,-0.050749,-3.512653
abstract_algebra,6,100,30929a6c7a29b8f4,0,0,1,-0.072657,-3.747597,-3.444437,-4.239708
abstract_algebra,99,100,76b2f1c487c16fc2,2,2,1,-6.097266,-1.303816,-0.538601,-1.949591
abstract_algebra,46,100,8bddff4fe9066610,1,2,0,-2.627191,-2.788434,-0.651046,-1.066703
abstract_algebra,81,100,9d7b0ae13c04cec1,3,0,0,-0.098628,-3.833949,-2.831006,-4.328516
abstract_algebra,85,100,f86e2f339e6c1354,2,2,1,-4.301390,-4.031118,-0.187307,-1.971437
abstract_algebra,58,100,34946a8814e172a1,0,0,1,-0.039845,-5.369607,-3.593167,-4.995698
abstract_algebra,75,100,212cfb93a2f08b7e,1,1,1,-4.806429,-0.692833,-1.536080,-1.288771
abstract_algebra,43,100,135e7a15b58ca7cc,2,2,1,-4.511651,-5.600186,-0.030110,-4.204528
abstract_algebra,17,100,736bb170a2c9292a,2,3,0,-3.722465,-3.178458,-2.710104,-0.142665
abstract_algebra,69,100,be1e8cea7da078b7,0,0,1,-0.725674,-4.054036,-0.756047,-3.554787
abstract_algebra,80,100,fae2883618fccf48,1,2,0,-5.358215,-1.752352,-0.288857,-2.625832
