# llvq-mmlu-dump v1
# scores=logprob
# engine=llama.cpp/CUDA
subject,index,population,qhash,answer,pick,correct,logit_a,logit_b,logit_c,logit_d
abstract_algebra,40,100,bec320bbf00fda34,2,2,1,-1.652774,-3.494880,-0.987291,-1.486434
abstract_algebra,56,100,1ea56ef2628eace7,3,0,0,-0.914598,-2.783813,-1.085214,-1.970003
abstract_algebra,13,100,b6439a63c097c757,2,2,1,-1.290892,-2.358725,-1.104061,-2.126802
abstract_algebra,31,100,e8c0b9fe514c0dee,1,0,0,-1.139178,-1.291622,-1.771279,-1.861284
abstract_algebra,16,100,44368c23f2cb5842,2,0,0,-0.887489,-2.286098,-1.654583,-1.981315
abstract_algebra,30,100,6fe2c1e4ad036317,1,2,0,-1.492963,-3.276763,-0.694039,-1.669257
abstract_algebra,72,100,c43b3da4e6c7adf5,3,0,0,-0.756011,-3.036359,-2.503487,-2.012439
abstract_algebra,24,100,f069226d17f5b6c1,1,2,0,-1.451914,-3.406952,-0.780682,-1.461370
abstract_algebra,61,100,a4e2020ebc69a28d,3,2,0,-1.183092,-3.148256,-0.940080,-1.515939
abstract_algebra,42,100,37fd2c9878288d41,1,2,0,-1.415397,-2.952354,-0.720947,-1.681461
abstract_algebra,68,100,2163eb04709cac5f,0,0,1,-0.822221,-2.774843,-1.925893,-2.074155
abstract_algebra,1,100,9e923a04c3e16bcd,2,0,0,-0.589860,-3.106444,-1.658990,-2.454816
abstract_algebra,98,100,4b1f8d17e2137273,2,0,0,-0.724083,-2.825693,-1.428426,-2.047001
abstract_algebra,44,100,2c5f3c67713fafd9,2,2,1,-1.482351,-3.104277,-0.622334,-2.201777
abstract_algebra,83,100,ac879655422a5d2b,2,0,0,-0.924709,-3.239087,-1.098628,-1.725383
abstract_algebra,11,100,3451dc9483f36f8e,2,0,0,-1.022796,-2.516614,-1.092775,-1.955026
abstract_algebra,82,100,8e07c0586a1baa69,0,0,1,-0.842879,-3.437615,-1.139361,-1.811439
abstract_algebra,77,100,e0aeb905a0a0c18b,0,0,1,-0.196297,-4.352617,-2.284260,-3.876202
abstract_algebra,2,100,dab158f66e079532,3,0,0,-0.864929,-2.751712,-1.364549,-1.965648
abstract_algebra,94,100,01bc05e509060046,3,3,1,-1.310729,-3.557513,-1.257064,-1.097930
abstract_algebra,7,100,5cab746ef9b2b262,3,0,0,-1.137229,-2.584063,-1.157519,-1.510871
abstract_algebra,6,100,30929a6c7a29b8f4,0,2,0,-1.441869,-3.439922,-0.863948,-1.324081
abstract_algebra,99,100,76b2f1c487c16fc2,2,2,1,-1.663622,-3.469843,-0.795717,-1.276857
abstract_algebra,46,100,8bddff4fe9066610,1,2,0,-1.103534,-2.600520,-1.036618,-1.703618
abstract_algebra,81,100,9d7b0ae13c04cec1,3,0,0,-1.073878,-3.017360,-1.127650,-1.405211
abstract_algebra,85,100,f86e2f339e6c1354,2,2,1,-1.140499,-2.938446,-0.999520,-1.616097
abstract_algebra,58,100,34946a8814e172a1,0,2,0,-1.146321,-3.269044,-0.869740,-1.717687
abstract_algebra,75,100,212cfb93a2f08b7e,1,2,0,-1.081011,-3.119497,-1.050615,-1.613325
abstract_algebra,43,100,135e7a15b58ca7cc,2,2,1,-1.414505,-2.449646,-0.870629,-1.553055
abstract_algebra,17,100,736bb170a2c9292a,2,0,0,-0.863431,-2.008828,-1.317966,-2.922456
abstract_algebra,69,100,be1e8cea7da078b7,0,0,1,-0.955541,-2.830245,-0.997447,-1.980773
abstract_algebra,80,100,fae2883618fccf48,1,2,0,-1.299164,-3.335022,-0.935389,-1.383984
abstract_algebra,73,100,85513c3537b1cbf3,1,0,0,-0.398212,-2.237134,-1.810693,-3.806615
abstract_algebra,28,100,5b48f21c9cebd1bc,3,0,0,-1.068633,-2.915690,-1.093099,-1.556575
abstract_algebra,15,100,e81fb23a92244db7,1,0,0,-1.178693,-3.077741,-1.307603,-1.203244
abstract_algebra,76,100,f40482f537a821b7,2,0,0,-0.965684,-3.013655,-1.242203,-1.542561
abstract_algebra,22,100,1326ba2fe7d2be57,3,0,0,-0.784622,-2.957249,-1.352650,-1.796154
abstract_algebra,4,100,75d0e3b0262ae9d1,1,0,0,-1.252853,-2.389461,-1.281909,-2.418996
abstract_algebra,9,100,b2b3d2496fc06473,2,0,0,-0.897181,-2.546834,-1.520924,-2.130503
abstract_algebra,70,100,80eb2ac0bcbc6915,3,2,0,-1.499173,-2.935935,-0.860140,-1.793000
anatomy,20,135,56bdf90594a1d00c,2,2,1,-3.253501,-2.877681,-0.292144,-2.558238
anatomy,78,135,30755684eabfd601,2,2,1,-5.562975,-4.893938,-0.052656,-3.892021
anatomy,1,135,c659ff57338b24c1,1,1,1,-2.222823,-0.522143,-1.704375,-3.494639
anatomy,132,135,af55fa4ce3aaf111,0,2,0,-2.599384,-1.996868,-0.782986,-1.341612
anatomy,46,135,8c6d933e5cef93bf,1,2,0,-2.446533,-1.995161,-0.509472,-3.629394
anatomy,51,135,8b11c89d17550084,3,0,0,-0.542640,-2.112497,-1.551149,-3.613710
anatomy,129,135,5531298fb7c6a057,0,1,0,-3.969280,-0.742391,-1.027086,-2.112509
anatomy,27,135,59bf276e42fa6220,0,2,0,-2.466608,-1.807617,-0.476895,-2.502207
anatomy,97,135,174746aa76054608,2,2,1,-4.032812,-2.398393,-0.265365,-2.258882
anatomy,24,135,3d9a069fed430b34,1,2,0,-3.278957,-2.135331,-0.290816,-2.739030
anatomy,77,135,3f6c4a68f67d655f,0,2,0,-2.295518,-1.599450,-0.634082,-2.931033
anatomy,127,135,0ba83525dfb31d8e,2,2,1,-2.378856,-2.702485,-0.313135,-2.671434
anatomy,57,135,ba15461d77ab0756,2,2,1,-4.753456,-5.202884,-0.089527,-2.870580
anatomy,107,135,ad13970445d9d694,3,2,0,-1.451775,-1.649039,-0.975324,-3.308367
anatomy,36,135,9d9c94fc34041955,3,3,1,-3.389641,-3.827959,-2.990149,-0.195558
anatomy,106,135,a1289711b7432956,2,2,1,-4.457419,-3.800917,-0.137476,-3.438750
anatomy,130,135,2efd67c51c9ac9c7,0,2,0,-1.980102,-0.968843,-0.945477,-2.676045
anatomy,44,135,5d69335feb2a2649,0,2,0,-2.913167,-1.882898,-0.602068,-1.666702
anatomy,102,135,fe63773f2dbbbd20,2,2,1,-2.788279,-1.010221,-0.735231,-2.727527
anatomy,50,135,c159571f637707e3,3,3,1,-3.907526,-4.025434,-0.821361,-0.734119
anatomy,14,135,f55d4f5a21731100,0,2,0,-3.187639,-1.281893,-0.549958,-3.366326
anatomy,82,135,385c1a347aaeb69d,2,2,1,-1.714366,-1.141257,-0.934928,-3.574626
anatomy,128,135,99525c5a63413825,0,0,1,-0.254472,-2.102372,-2.676274,-4.432454
anatomy,55,135,274c72a10864c1aa,3,1,0,-1.208438,-1.167718,-1.340383,-2.537442
