# llvq-mmlu-dump v1
# model=qwen3-4b-iq2xxs.gguf [vLLM arm iq2_xxs]
# revision=main (NON ÉPINGLÉE)
# dtype=f16
# scores=logprob  ⚠️ colonnes logit_* = LOGPROBS, pas des logits
# engine=llama.cpp
subject,index,population,qhash,answer,pick,correct,logit_a,logit_b,logit_c,logit_d
abstract_algebra,40,100,bec320bbf00fda34,2,2,1,-1.690195,-3.510519,-0.877749,-1.524794
abstract_algebra,56,100,1ea56ef2628eace7,3,0,0,-0.866883,-2.862008,-1.114677,-1.954236
abstract_algebra,13,100,b6439a63c097c757,2,2,1,-1.351772,-2.297706,-1.088611,-2.060037
abstract_algebra,31,100,e8c0b9fe514c0dee,1,0,0,-1.101886,-1.293605,-1.748237,-1.927509
abstract_algebra,16,100,44368c23f2cb5842,2,0,0,-0.826242,-2.339936,-1.682487,-2.014525
abstract_algebra,30,100,6fe2c1e4ad036317,1,2,0,-1.461251,-3.173779,-0.693083,-1.686116
abstract_algebra,72,100,c43b3da4e6c7adf5,3,0,0,-0.606196,-3.013657,-2.427844,-1.812502
abstract_algebra,24,100,f069226d17f5b6c1,1,2,0,-1.503785,-3.405507,-0.693021,-1.565697
abstract_algebra,61,100,a4e2020ebc69a28d,3,2,0,-1.147631,-3.072203,-1.013062,-1.431190
abstract_algebra,42,100,37fd2c9878288d41,1,2,0,-1.386586,-3.011592,-0.732857,-1.641560
abstract_algebra,68,100,2163eb04709cac5f,0,0,1,-0.782166,-2.884768,-1.964083,-2.055220
abstract_algebra,1,100,9e923a04c3e16bcd,2,0,0,-0.603303,-3.091852,-1.558256,-2.429292
abstract_algebra,98,100,4b1f8d17e2137273,2,0,0,-0.718798,-2.887579,-1.431101,-2.084868
abstract_algebra,44,100,2c5f3c67713fafd9,2,2,1,-1.423284,-3.109263,-0.623380,-2.304673
abstract_algebra,83,100,ac879655422a5d2b,2,0,0,-0.955534,-2.915567,-1.076141,-1.760293
abstract_algebra,11,100,3451dc9483f36f8e,2,2,1,-1.086161,-2.504726,-1.039862,-1.958969
abstract_algebra,82,100,8e07c0586a1baa69,0,0,1,-0.790731,-3.412210,-1.217500,-1.788243
