# llvq-mmlu-dump v1
# model=Qwen/Qwen3-4B-AWQ [vLLM arm awq_marlin]
# revision=74d4bd2bd4bff9cafc9345221320bffb08b406a3
# dtype=f16
# scores=logprob  ⚠️ colonnes logit_* = LOGPROBS, pas des logits
# engine=vllm
subject,index,population,qhash,answer,pick,correct,logit_a,logit_b,logit_c,logit_d
abstract_algebra,40,100,bec320bbf00fda34,2,1,0,-6.179693,-0.320317,-1.316102,-7.722353
abstract_algebra,56,100,1ea56ef2628eace7,3,2,0,-3.126824,-3.545325,-0.281272,-1.750697
abstract_algebra,13,100,b6439a63c097c757,2,2,1,-4.486700,-1.017944,-0.778895,-1.830253
abstract_algebra,31,100,e8c0b9fe514c0dee,1,3,0,-5.196825,-1.756160,-3.771872,-0.222228
abstract_algebra,16,100,44368c23f2cb5842,2,3,0,-5.152874,-2.477047,-3.338384,-0.137249
abstract_algebra,30,100,6fe2c1e4ad036317,1,3,0,-2.878721,-2.197441,-0.925596,-0.831846
abstract_algebra,72,100,c43b3da4e6c7adf5,3,0,0,-0.176187,-2.780890,-2.688120,-3.610086
abstract_algebra,24,100,f069226d17f5b6c1,1,0,0,-0.026561,-7.229686,-3.745311,-6.323397
abstract_algebra,61,100,a4e2020ebc69a28d,3,3,1,-5.547645,-3.937534,-2.718482,-0.094520
abstract_algebra,42,100,37fd2c9878288d41,1,3,0,-6.065516,-0.926597,-3.142962,-0.589100
abstract_algebra,68,100,2163eb04709cac5f,0,0,1,-0.057288,-3.120574,-5.244870,-5.229163
abstract_algebra,1,100,9e923a04c3e16bcd,2,3,0,-2.484555,-3.828305,-0.827011,-0.781430
abstract_algebra,98,100,4b1f8d17e2137273,2,3,0,-4.455088,-3.096689,-5.159105,-0.064463
abstract_algebra,44,100,2c5f3c67713fafd9,2,2,1,-5.726082,-6.179289,-0.007466,-6.241758
abstract_algebra,83,100,ac879655422a5d2b,2,2,1,-4.661916,-3.522556,-0.083942,-3.177690
abstract_algebra,11,100,3451dc9483f36f8e,2,2,1,-3.644693,-3.300925,-0.067581,-6.692561
abstract_algebra,82,100,8e07c0586a1baa69,0,0,1,-0.016289,-6.672289,-4.437727,-5.937954
abstract_algebra,77,100,e0aeb905a0a0c18b,0,0,1,-0.000864,-8.047739,-8.032105,-8.797744
abstract_algebra,2,100,dab158f66e079532,3,2,0,-2.130933,-3.790570,-0.443437,-1.537183
abstract_algebra,94,100,01bc05e509060046,3,3,1,-0.929581,-2.802355,-2.085831,-0.858996
abstract_algebra,7,100,5cab746ef9b2b262,3,2,0,-4.669986,-4.560464,-0.044822,-3.717239
abstract_algebra,6,100,30929a6c7a29b8f4,0,0,1,-0.012237,-6.355939,-4.949551,-5.793439
abstract_algebra,99,100,76b2f1c487c16fc2,2,1,0,-7.743683,-0.116947,-3.258177,-2.618683
abstract_algebra,46,100,8bddff4fe9066610,1,2,0,-3.517725,-3.087276,-0.518911,-1.111475
abstract_algebra,81,100,9d7b0ae13c04cec1,3,0,0,-0.154223,-4.979913,-2.107348,-4.263268
abstract_algebra,85,100,f86e2f339e6c1354,2,2,1,-2.695350,-4.603284,-0.178673,-2.431252
abstract_algebra,58,100,34946a8814e172a1,0,0,1,-0.135117,-5.588244,-2.274122,-4.010118
abstract_algebra,75,100,212cfb93a2f08b7e,1,1,1,-6.266719,-0.172963,-2.343332,-2.829219
abstract_algebra,43,100,135e7a15b58ca7cc,2,2,1,-4.577760,-4.345680,-0.091152,-2.733189
abstract_algebra,17,100,736bb170a2c9292a,2,3,0,-4.521800,-3.144507,-2.506174,-0.146799
abstract_algebra,69,100,be1e8cea7da078b7,0,2,0,-2.018521,-3.203886,-0.313260,-2.346646
abstract_algebra,80,100,fae2883618fccf48,1,2,0,-6.090432,-2.200453,-0.200450,-2.684793
abstract_algebra,73,100,85513c3537b1cbf3,1,1,1,-8.750344,-0.000342,-9.297215,-9.422219
abstract_algebra,28,100,5b48f21c9cebd1bc,3,2,0,-1.011946,-2.551563,-0.755084,-2.368355
abstract_algebra,15,100,e81fb23a92244db7,1,0,0,-0.229786,-4.042286,-1.960974,-3.105064
abstract_algebra,76,100,f40482f537a821b7,2,2,1,-6.448866,-5.604876,-0.011275,-5.151960
abstract_algebra,22,100,1326ba2fe7d2be57,3,3,1,-3.351869,-3.882574,-3.616949,-0.086244
abstract_algebra,4,100,75d0e3b0262ae9d1,1,2,0,-3.361680,-1.079722,-0.486666,-4.626615
abstract_algebra,9,100,b2b3d2496fc06473,2,2,1,-2.462891,-2.852177,-0.643002,-1.103516
abstract_algebra,70,100,80eb2ac0bcbc6915,3,2,0,-5.506124,-2.242854,-0.164732,-3.209250
anatomy,20,135,56bdf90594a1d00c,2,2,1,-10.297067,-9.140820,-0.000199,-9.953321
anatomy,78,135,30755684eabfd601,2,2,1,-12.390656,-12.218781,-0.000032,-10.843781
anatomy,1,135,c659ff57338b24c1,1,1,1,-4.679843,-0.036920,-6.100711,-3.647551
anatomy,132,135,af55fa4ce3aaf111,0,1,0,-3.469889,-0.047296,-4.204038,-7.485514
anatomy,46,135,8c6d933e5cef93bf,1,1,1,-7.860595,-0.001246,-7.954357,-7.657488
anatomy,51,135,8b11c89d17550084,3,3,1,-2.707472,-6.177081,-4.598956,-0.083331
