# llvq-mmlu-dump v1
# model=Qwen/Qwen3-4B [vLLM arm f16]
# revision=1cfa9a7208912126459214e8b04321603b3df60c
# dtype=f16
# scores=logprob  ⚠️ colonnes logit_* = LOGPROBS, pas des logits
# engine=vllm
subject,index,population,qhash,answer,pick,correct,logit_a,logit_b,logit_c,logit_d
abstract_algebra,40,100,bec320bbf00fda34,2,2,1,-5.438847,-0.813778,-0.595028,-7.641903
abstract_algebra,56,100,1ea56ef2628eace7,3,3,1,-3.429097,-3.179097,-1.413472,-0.382222
abstract_algebra,13,100,b6439a63c097c757,2,1,0,-3.750093,-0.718843,-0.953218,-2.328218
abstract_algebra,31,100,e8c0b9fe514c0dee,1,3,0,-4.604039,-1.041538,-2.619663,-0.572789
abstract_algebra,16,100,44368c23f2cb5842,2,3,0,-4.707245,-2.004120,-1.379120,-0.504120
abstract_algebra,30,100,6fe2c1e4ad036317,1,3,0,-4.662220,-2.740345,-2.584095,-0.162221
abstract_algebra,72,100,c43b3da4e6c7adf5,3,0,0,-0.082276,-3.566651,-3.363526,-4.144776
abstract_algebra,24,100,f069226d17f5b6c1,1,0,0,-0.005059,-7.051934,-5.645684,-7.426934
abstract_algebra,61,100,a4e2020ebc69a28d,3,3,1,-5.174347,-3.861847,-2.377472,-0.127472
abstract_algebra,42,100,37fd2c9878288d41,1,3,0,-5.024989,-1.040614,-2.478114,-0.587489
abstract_algebra,68,100,2163eb04709cac5f,0,0,1,-0.036030,-3.614155,-5.520405,-5.692280
abstract_algebra,1,100,9e923a04c3e16bcd,2,2,1,-1.758457,-3.164707,-0.695957,-1.258457
abstract_algebra,98,100,4b1f8d17e2137273,2,3,0,-3.762372,-2.074872,-3.121747,-0.215496
abstract_algebra,44,100,2c5f3c67713fafd9,2,2,1,-5.817273,-7.161023,-0.004772,-6.957898
abstract_algebra,83,100,ac879655422a5d2b,2,2,1,-4.671866,-3.656241,-0.124991,-2.499991
abstract_algebra,11,100,3451dc9483f36f8e,2,2,1,-2.700723,-3.481973,-0.106973,-5.747598
abstract_algebra,82,100,8e07c0586a1baa69,0,0,1,-0.010111,-5.697611,-5.181986,-6.885111
abstract_algebra,77,100,e0aeb905a0a0c18b,0,0,1,-0.000993,-7.954118,-8.000993,-8.485368
abstract_algebra,2,100,dab158f66e079532,3,3,1,-2.506990,-3.506990,-0.991365,-0.663240
abstract_algebra,94,100,01bc05e509060046,3,3,1,-2.799036,-2.908411,-1.564661,-0.392786
abstract_algebra,7,100,5cab746ef9b2b262,3,2,0,-5.128023,-4.315523,-0.049897,-3.534272
abstract_algebra,6,100,30929a6c7a29b8f4,0,0,1,-0.074035,-3.745910,-3.417785,-4.214661
abstract_algebra,99,100,76b2f1c487c16fc2,2,2,1,-6.099716,-1.318466,-0.537216,-1.927841
abstract_algebra,46,100,8bddff4fe9066610,1,2,0,-2.632524,-2.788774,-0.648149,-1.070024
abstract_algebra,81,100,9d7b0ae13c04cec1,3,0,0,-0.097234,-3.847234,-2.847234,-4.331609
abstract_algebra,85,100,f86e2f339e6c1354,2,2,1,-4.310134,-4.044509,-0.185134,-1.982009
abstract_algebra,58,100,34946a8814e172a1,0,0,1,-0.039449,-5.383199,-3.601949,-5.008199
abstract_algebra,75,100,212cfb93a2f08b7e,1,1,1,-4.818267,-0.693267,-1.537017,-1.287017
abstract_algebra,43,100,135e7a15b58ca7cc,2,2,1,-4.514468,-5.608218,-0.030093,-4.201968
abstract_algebra,17,100,736bb170a2c9292a,2,3,0,-3.734932,-3.188057,-2.719307,-0.141182
abstract_algebra,69,100,be1e8cea7da078b7,0,0,1,-0.725319,-4.053444,-0.756569,-3.553444
abstract_algebra,80,100,fae2883618fccf48,1,2,0,-5.367160,-1.742160,-0.289035,-2.648410
