seed,layer,projection,shadow_count,disagreements_AB,disagreements_AC,disagreements_BC,snapshot_count,rollout_regret_A,rollout_regret_B,rollout_regret_C,validation_regret_A,validation_regret_B,validation_regret_C
1,0,self_attn.q_proj,168,18,21,7,12,2.7732601268497757e-05,2.7732601268497757e-05,2.7732601268497757e-05,1.3270022729978408e-05,1.3270022729978408e-05,1.3270022729978408e-05
1,0,mlp.gate_proj,168,19,20,5,12,0.00011790440667034422,4.216594403477379e-05,4.216594403477379e-05,0.00034835381199860006,0.0002616216845388562,0.0002616216845388562
1,13,self_attn.q_proj,168,15,15,4,12,5.960270201476681e-05,5.960270201476681e-05,5.960270201476681e-05,0.0005088039357638006,0.0005088039357638006,0.0005088039357638006
1,13,mlp.gate_proj,168,14,12,4,12,4.9874635911528036e-05,4.9874635911528036e-05,4.9874635911528036e-05,0.0006556388303865581,0.0006556388303865581,0.0006556388303865581
1,27,self_attn.q_proj,168,18,16,4,12,0.027399156913505234,0.018595243313577443,0.017667961181633274,0.1849145483219056,0.15218324442660125,0.1518811115984413
1,27,mlp.gate_proj,168,23,23,4,12,0.0015438528806820406,0.0012356681474902664,0.0012356681474902664,0.014021293458960441,0.011627435635360962,0.011627435635360962
2,0,self_attn.q_proj,168,14,18,6,12,3.488581514473706e-05,3.488581514473706e-05,3.488581514473706e-05,9.43968440456649e-06,9.43968440456649e-06,9.43968440456649e-06
2,0,mlp.gate_proj,168,13,14,1,12,5.290553361455533e-05,4.5039623377658494e-05,4.5039623377658494e-05,0.0006966346732109448,0.0007656779616757744,0.0007656779616757744
2,13,self_attn.q_proj,168,11,14,3,12,0.00012930938451487166,0.00012930938451487166,0.0001717693609888333,0.0005466007065617235,0.0005466007065617235,0.00046207493752141953
2,13,mlp.gate_proj,168,16,15,1,12,0.00013951250216222158,0.00013951250216222158,0.00013951250216222158,0.0006676908212396577,0.0006676908212396577,0.0006676908212396577
2,27,self_attn.q_proj,168,16,13,7,12,8.8133272177419e-05,8.8133272177419e-05,0.0,0.132953874844445,0.132953874844445,0.12490965940577899
2,27,mlp.gate_proj,168,27,25,8,12,0.00030073622145928777,0.0009956954964984905,0.00017707311425774314,0.006889186230601391,0.009314477706752618,0.005834144398071825
