# hratio, natural basis, f32 device arithmetic
# sealed=/Users/pjmalandrino/qwen3-4b-tetra-q5.bin calib=wikitext2 tokens=16384
block	proj	d_out	d_in	tetra_wH	int4_wH	ratio
0	self_attn.q_proj	4096	2560	1.541015506e-1	4.857470095e-2	3.172465
0	self_attn.k_proj	1024	2560	4.310317338e-2	1.351323538e-2	3.189700
0	self_attn.o_proj	2560	4096	6.584599614e-2	2.823948860e-2	2.331699
0	mlp.gate_proj	9728	2560	9.530534744e0	1.984219551e0	4.803165
0	mlp.up_proj	9728	2560	8.240818024e0	1.680473089e0	4.903868
0	mlp.down_proj	2560	9728	8.318547010e-1	1.770725846e-1	4.697818
1	self_attn.q_proj	4096	2560	1.695211232e-1	8.341042697e-2	2.032373
1	self_attn.k_proj	1024	2560	4.663391411e-2	2.231772989e-2	2.089546
1	self_attn.o_proj	2560	4096	1.173894033e-1	3.509799764e-2	3.344618
1	mlp.gate_proj	9728	2560	1.756538696e2	3.403866272e2	0.516042
1	mlp.up_proj	9728	2560	4.953386688e1	9.686791992e1	0.511355
1	mlp.down_proj	2560	9728	2.067371011e-1	5.016801357e-1	0.412089
2	self_attn.q_proj	4096	2560	5.445882082e-1	1.597777903e-1	3.408410
2	self_attn.k_proj	1024	2560	1.478098333e-1	4.611460865e-2	3.205271
2	self_attn.o_proj	2560	4096	1.789062768e-1	4.287533835e-2	4.172708
2	mlp.gate_proj	9728	2560	1.469477844e2	5.140347900e2	0.285871
2	mlp.up_proj	9728	2560	1.214164276e2	3.294724121e2	0.368518
2	mlp.down_proj	2560	9728	2.014878839e-1	1.142067462e-1	1.764238
3	self_attn.q_proj	4096	2560	1.104683399e0	3.714524806e-1	2.973956
3	self_attn.k_proj	1024	2560	2.844903469e-1	9.649610519e-2	2.948205
3	self_attn.o_proj	2560	4096	2.840936482e-1	6.935068220e-2	4.096480
3	mlp.gate_proj	9728	2560	2.626700439e2	4.490338135e2	0.584967
3	mlp.up_proj	9728	2560	1.222179184e2	1.759552155e2	0.694597
3	mlp.down_proj	2560	9728	1.234335899e0	3.794639111e-1	3.252841
4	self_attn.q_proj	4096	2560	2.298059464e0	5.791732073e-1	3.967828
4	self_attn.k_proj	1024	2560	5.895834565e-1	1.755124331e-1	3.359212
4	self_attn.o_proj	2560	4096	6.640883684e-1	1.152857244e-1	5.760369
4	mlp.gate_proj	9728	2560	3.255634155e2	3.226856689e2	1.008918
4	mlp.up_proj	9728	2560	1.337203979e2	9.039559174e1	1.479280
4	mlp.down_proj	2560	9728	3.587752342e0	7.329623699e-1	4.894866
5	self_attn.q_proj	4096	2560	2.486862183e0	7.553769350e-1	3.292214
5	self_attn.k_proj	1024	2560	6.322494745e-1	2.048720866e-1	3.086069
5	self_attn.o_proj	2560	4096	7.158684134e-1	1.809618920e-1	3.955907
5	mlp.gate_proj	9728	2560	1.440188599e2	8.041621399e1	1.790918
5	mlp.up_proj	9728	2560	7.709954834e1	2.595180130e1	2.970875
5	mlp.down_proj	2560	9728	7.269561768e0	1.167596817e0	6.226089
6	self_attn.q_proj	4096	2560	5.178094864e0	1.701732278e0	3.042838
6	self_attn.k_proj	1024	2560	1.240372658e0	4.373045862e-1	2.836404
6	self_attn.o_proj	2560	4096	2.021701813e0	4.569568038e-1	4.424273
6	mlp.gate_proj	9728	2560	1.462968140e2	5.828641129e1	2.509964
6	mlp.up_proj	9728	2560	9.339997864e1	3.622736359e1	2.578161
6	mlp.down_proj	2560	9728	1.047829819e1	1.206392578e3	0.008686
7	self_attn.q_proj	4096	2560	8.991521835e0	4.060778618e0	2.214236
7	self_attn.k_proj	1024	2560	2.286500931e0	1.237957954e0	1.846994
7	self_attn.o_proj	2560	4096	2.105902433e0	5.321699977e-1	3.957199
7	mlp.gate_proj	9728	2560	1.836549530e2	5.795632172e1	3.168851
7	mlp.up_proj	9728	2560	1.226080780e2	3.807344818e1	3.220304
7	mlp.down_proj	2560	9728	1.392035007e1	1.879836082e0	7.405087
8	self_attn.q_proj	4096	2560	1.788583183e1	5.285501957e0	3.383942
8	self_attn.k_proj	1024	2560	4.675379753e0	1.490563154e0	3.136653
8	self_attn.o_proj	2560	4096	3.755627155e0	8.229684234e-1	4.563513
8	mlp.gate_proj	9728	2560	1.712179260e2	2.884609985e1	5.935566
8	mlp.up_proj	9728	2560	1.384409637e2	2.224469757e1	6.223549
