# llvq-mmlu-dump v1
# model=/Users/pjmalandrino/qwen3-4b-llvq.bin [LLVQ 2-bit, sealed; f16 restored: q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj (252 matrices, 3633315840 weights) from Qwen/Qwen3-4B@main]
# dtype=f16
# limit=2
subject,index,population,qhash,answer,pick,correct,logit_a,logit_b,logit_c,logit_d
abstract_algebra,40,100,bec320bbf00fda34,2,2,1,23.734375,28.375,28.640625,21.546875
abstract_algebra,56,100,1ea56ef2628eace7,3,3,1,22.9375,23.265625,24.953125,26.078125
anatomy,20,135,56bdf90594a1d00c,2,2,1,22.078125,22.296875,32.125,21.671875
anatomy,78,135,30755684eabfd601,2,2,1,21.53125,21.46875,32.65625,22.265625
astronomy,8,152,b6c916da603fa2b8,3,3,1,22.4375,22.390625,20.34375,30.34375
astronomy,20,152,60df3694ead4721f,3,3,1,23.59375,21.578125,21.203125,34.5625
business_ethics,57,100,53c51fbb11da5461,0,0,1,32.8125,18.96875,20.46875,22.125
business_ethics,84,100,40959c60288bb63b,2,0,0,25.53125,24.1875,23.890625,25.015625
clinical_knowledge,117,265,7ea4604509044a88,2,2,1,22.703125,22.703125,31.859375,21.953125
clinical_knowledge,156,265,2b75137584e7e562,3,1,0,21.40625,26.140625,26.0625,25.828125
college_biology,115,144,2dd35f04114bdde2,3,3,1,23.46875,22.484375,24.90625,25
college_biology,136,144,6632556ceeff7a74,0,0,1,29.59375,22.203125,22.515625,20.96875
college_chemistry,82,100,3f4c9e03892b6f41,3,2,0,25.046875,23.734375,26.5625,24.203125
college_chemistry,28,100,11a0cfc84cdd0300,3,3,1,23.375,25.796875,23.53125,29.3125
college_computer_science,83,100,6faa8d54f393ea32,0,0,1,26.78125,22.671875,22.34375,23.4375
college_computer_science,80,100,cc8f0a769b7235b3,1,0,0,25.375,22.5625,21.796875,23.609375
college_mathematics,26,100,b40cfbc62efb6a95,3,3,1,22.859375,22.734375,23.453125,26.734375
college_mathematics,92,100,27b131d6f1086751,2,1,0,21.859375,28.25,23.828125,25.140625
college_medicine,141,173,b90e1323922cd9bd,2,2,1,24.546875,20.40625,30.09375,20.703125
college_medicine,143,173,47e12f583de903b2,2,2,1,22.4375,21.15625,29.953125,20.203125
college_physics,38,102,e6af13c87b3f3eb9,2,2,1,22.9375,21.625,27.375,22.515625
college_physics,34,102,4c8bec988a95cc38,3,2,0,22.203125,22.5,28.46875,27.546875
computer_security,82,100,6b39a70cec966a2d,0,0,1,32.46875,20.828125,21.359375,20.765625
computer_security,28,100,47f326aa42225dd8,2,2,1,23.09375,22.78125,33.65625,23
conceptual_physics,144,235,be22cad92eeb37f3,3,3,1,24.265625,24.03125,23.625,29.28125
conceptual_physics,139,235,98f8fb626ea76e31,1,0,0,29.015625,24.265625,23.0625,20.84375
econometrics,25,114,874873421ce5dbfc,0,0,1,30.40625,21.6875,22.375,22.359375
econometrics,88,114,ad757da87b5b1802,3,3,1,23.265625,26.40625,25.6875,27.21875
electrical_engineering,112,145,a58c01a15e39c50b,1,1,1,22.34375,31.3125,22.34375,23.1875
electrical_engineering,44,145,f4c00e4df668c7dd,0,0,1,29.203125,22.21875,22.015625,23.421875
elementary_mathematics,197,378,1531c1ab81cd9238,1,1,1,21.515625,34.4375,22.703125,21.4375
elementary_mathematics,128,378,8d1f3a7cd48234fe,2,2,1,26.5,25.609375,26.984375,25.078125
formal_logic,123,126,db4ebe4b5f7e4719,0,2,0,22.6875,23.609375,24.875,23.265625
formal_logic,120,126,be1bc7b850437d77,0,0,1,28,22.5625,21.90625,23.421875
global_facts,82,100,12e44fc450597628,0,0,1,27.5,22.96875,21.578125,17.96875
global_facts,67,100,1a6606212cd1ac4a,1,1,1,24.46875,27.515625,25.015625,25.921875
high_school_biology,250,310,a70aeafa49ef3b92,2,2,1,21.21875,23.09375,31.375,22.015625
high_school_biology,226,310,69cd7d5e8195ae7a,2,2,1,24.15625,22.53125,30.796875,22.921875
high_school_chemistry,146,203,f7da8f416b5734f0,1,1,1,23.140625,28.140625,23.890625,26.40625
high_school_chemistry,56,203,fdeb0bc0b1187490,3,3,1,25.140625,22.140625,23.78125,29.78125
high_school_computer_science,80,100,510e9595f8a75139,0,0,1,29.8125,21.46875,21.625,23.546875
high_school_computer_science,25,100,d062ad66741319ca,2,2,1,22.84375,22.96875,27.78125,24.953125
high_school_european_history,38,165,ecc8b831df4140f0,1,1,1,22.796875,29.921875,21.703125,27.09375
high_school_european_history,158,165,2b64c2532f2b767e,3,1,0,22.953125,29.328125,28.53125,24.03125
high_school_geography,5,198,0d08c0603e24f7f6,3,3,1,22.53125,21.734375,22.671875,33.375
high_school_geography,20,198,ecf231f03e1d10ea,2,2,1,20.671875,20.84375,32.4375,21.3125
high_school_government_and_politics,114,193,3b22dfed73cfeece,3,3,1,20.984375,20.75,22.125,32.8125
high_school_government_and_politics,138,193,7af901265334b8ea,2,2,1,24.796875,20.6875,31.375,20.828125
high_school_macroeconomics,139,390,735d9f6bb911e297,3,3,1,20.65625,22.546875,22.671875,31.75
high_school_macroeconomics,269,390,607448d59dee3358,0,0,1,26.296875,25.171875,21.296875,23.453125
high_school_mathematics,150,270,373456d6befada6c,2,3,0,23.59375,24.890625,24.71875,25.53125
high_school_mathematics,189,270,9053087c83bacb58,0,0,1,24.671875,23.828125,23.875,23.8125
high_school_microeconomics,190,238,31600cf8609b9447,0,0,1,28.703125,22.015625,20.078125,23.1875
high_school_microeconomics,126,238,e2e1d204c7d8123d,3,3,1,20.125,20.71875,20.984375,32.3125
high_school_physics,27,151,c12edae19c94ad61,2,2,1,21.953125,21.9375,25.5625,23.40625
high_school_physics,92,151,9bd8b6f5e07594fa,2,0,0,24.21875,24.078125,24.109375,23.359375
high_school_psychology,337,545,18f43da3db62ee68,3,3,1,26.3125,20.734375,20.390625,29.828125
high_school_psychology,181,545,603a9b8d62939473,3,3,1,21.4375,22.21875,22.375,33.71875
high_school_statistics,40,216,b179b45e535c0252,3,3,1,20.75,20.921875,22.34375,30.546875
high_school_statistics,148,216,b0b4d273958679f4,3,3,1,22.46875,20.875,21.875,28.015625
high_school_us_history,16,204,e027f369f26cbb23,1,1,1,22.40625,31.171875,25.4375,25.734375
high_school_us_history,1,204,590d5b4530370c94,0,0,1,31.359375,20.875,20.71875,20.390625
high_school_world_history,53,237,4f746abd69ecfdd6,1,1,1,23.578125,32.3125,25.421875,22.765625
high_school_world_history,216,237,15e0355acd1a28ba,1,2,0,25.859375,24.171875,31.8125,21.203125
human_aging,63,223,6511b7e313cecf97,1,1,1,23.453125,33.25,25.375,23.21875
human_aging,98,223,b25b7c94679472be,1,0,0,28.046875,23.078125,26.09375,21.640625
human_sexuality,89,131,9924e13639095c20,1,1,1,22.0625,25.078125,21.484375,24.765625
human_sexuality,97,131,98a001c1eab7dba7,2,2,1,21.96875,20.421875,30.78125,20.53125
international_law,57,121,c34fa8dd62543111,0,0,1,27.75,23.453125,26.59375,20.625
international_law,112,121,5aeb6dfd70314ad9,3,0,0,27.84375,21.28125,21.40625,27.09375
jurisprudence,36,108,b6f75694c492f80f,0,2,0,23.65625,22.359375,31.03125,24.109375
jurisprudence,76,108,bbe89ce826329f0f,0,0,1,29.484375,20.65625,20.390625,23.125
logical_fallacies,123,163,04075dde158b62ba,0,2,0,23.828125,24.390625,26.390625,24.125
logical_fallacies,36,163,861a90c5c719bcc1,2,2,1,22.09375,21.1875,32.5,22.765625
machine_learning,31,112,007e0cbcad4c69be,2,3,0,23.65625,23.453125,22.171875,25.09375
machine_learning,17,112,fd6844c0b7968544,0,0,1,28.15625,22.9375,22.71875,23.015625
management,32,103,af743e25099854cb,3,3,1,21.671875,20.359375,25.421875,28.5625
management,80,103,77c4dd4cc59b8281,2,2,1,23.78125,22.390625,32.5625,21.359375
marketing,137,234,fb695002228a9253,0,0,1,26.875,24.03125,21.234375,25.1875
