# llvq-mmlu-dump v1
# scores=logprob
# engine=llama.cpp/CUDA
subject,index,population,qhash,answer,pick,correct,logit_a,logit_b,logit_c,logit_d
abstract_algebra,0,100,64b19dbf151c6e5d,1,1,1,-1.224857,-1.199854,-1.555081,-2.348620
abstract_algebra,1,100,9e923a04c3e16bcd,2,0,0,-0.611705,-3.103894,-1.595017,-2.460740
abstract_algebra,2,100,dab158f66e079532,3,0,0,-0.936105,-2.671962,-1.233625,-2.049423
abstract_algebra,3,100,01fbef7c05bf3f49,1,2,0,-1.432285,-3.129774,-0.742828,-1.600540
abstract_algebra,4,100,75d0e3b0262ae9d1,1,0,0,-1.283678,-2.376875,-1.329397,-2.462069
abstract_algebra,5,100,25826aac284ef08c,0,0,1,-0.836142,-3.163508,-1.169568,-1.756972
abstract_algebra,6,100,30929a6c7a29b8f4,0,2,0,-1.510877,-3.392274,-0.797370,-1.332112
abstract_algebra,7,100,5cab746ef9b2b262,3,0,0,-1.042433,-2.548832,-1.257561,-1.535399
abstract_algebra,8,100,ca372a1038e41906,1,0,0,-1.021227,-1.409804,-1.394614,-2.384535
abstract_algebra,9,100,b2b3d2496fc06473,2,0,0,-0.999808,-2.387206,-1.337239,-2.271283
abstract_algebra,10,100,affb37c8a5dff7bd,2,2,1,-1.425971,-3.293862,-0.845326,-1.369439
abstract_algebra,11,100,3451dc9483f36f8e,2,2,1,-1.099630,-2.556396,-1.026329,-1.933916
abstract_algebra,12,100,11260ae5d06490e1,0,0,1,-0.844250,-2.834120,-1.280916,-2.170992
abstract_algebra,13,100,b6439a63c097c757,2,2,1,-1.295322,-2.222165,-1.088012,-2.091501
abstract_algebra,14,100,955b2a794e68c627,2,0,0,-0.700334,-2.684331,-1.154376,-2.703996
abstract_algebra,15,100,e81fb23a92244db7,1,0,0,-1.051536,-2.936202,-1.318736,-1.325953
abstract_algebra,16,100,44368c23f2cb5842,2,0,0,-0.908042,-2.437957,-1.558718,-1.978259
abstract_algebra,17,100,736bb170a2c9292a,2,0,0,-0.898513,-1.930877,-1.279674,-2.938930
abstract_algebra,18,100,8f9d1ac4aacafc4e,3,0,0,-1.123506,-2.455484,-1.620180,-1.358385
abstract_algebra,19,100,3bd41352320ceb9a,0,2,0,-1.008539,-3.075098,-0.952829,-1.752907
abstract_algebra,20,100,93213f4be6ff533e,0,0,1,-0.842820,-2.912781,-1.051251,-2.047936
abstract_algebra,21,100,cdcf2c06cf755042,0,0,1,-0.996023,-2.543270,-1.357332,-2.159966
abstract_algebra,22,100,1326ba2fe7d2be57,3,0,0,-0.772243,-2.692983,-1.340627,-1.815477
abstract_algebra,23,100,c7cacc7dc3eb8ec4,3,0,0,-0.856418,-2.253844,-1.819432,-1.763310
abstract_algebra,24,100,f069226d17f5b6c1,1,2,0,-1.484276,-3.414673,-0.738001,-1.468169
abstract_algebra,25,100,b7dab04fd38006c2,2,0,0,-0.927748,-3.640646,-1.077944,-2.270022
abstract_algebra,26,100,95b516e1312e7ee3,2,2,1,-1.149094,-2.890652,-0.840754,-1.959570
abstract_algebra,27,100,150593cecf89fbf3,1,0,0,-0.593218,-3.519633,-2.007113,-2.336192
abstract_algebra,28,100,5b48f21c9cebd1bc,3,2,0,-1.084251,-2.814798,-1.051872,-1.566401
