# llvq-mmlu-dump v1
# model=/Users/pjmalandrino/embed-q4-swap-2026-09-23/qwen3-4b-dclm-ft-e4.bin [LLVQ 2-bit, sealed; restored o_proj,down_proj at int4 g128 (dequantized) (48 matrices, 676331520 weights) from Qwen/Qwen3-4B@main]
# dtype=f16
# limit=1
# alloc=flat, 1 per subject, 57 questions
# config=none
# arithmetic=dense reconstruction
# kv=f16
subject,index,population,qhash,answer,pick,correct,logit_a,logit_b,logit_c,logit_d
abstract_algebra,40,100,bec320bbf00fda34,2,1,0,21.890625,24.359375,23.171875,21.140625
anatomy,20,135,56bdf90594a1d00c,2,2,1,21.203125,20.0625,27.265625,22.203125
astronomy,8,152,b6c916da603fa2b8,3,1,0,21.96875,26.203125,19.984375,25.21875
business_ethics,57,100,53c51fbb11da5461,0,0,1,29.453125,19.421875,20.96875,23.09375
clinical_knowledge,117,265,7ea4604509044a88,2,2,1,22.90625,23.09375,26.359375,23.0625
college_biology,115,144,2dd35f04114bdde2,3,2,0,22.515625,23.34375,24.671875,24.0625
college_chemistry,82,100,3f4c9e03892b6f41,3,2,0,22.875,21.984375,23.578125,23.359375
college_computer_science,83,100,6faa8d54f393ea32,0,0,1,27,23.125,21.40625,21.03125
college_mathematics,26,100,b40cfbc62efb6a95,3,3,1,20.59375,21.21875,23.234375,24.3125
college_medicine,141,173,b90e1323922cd9bd,2,2,1,22.5,20.53125,27.390625,21.8125
college_physics,38,102,e6af13c87b3f3eb9,2,1,0,23.703125,24.5625,23.953125,23.21875
computer_security,82,100,6b39a70cec966a2d,0,0,1,28.71875,20.546875,21.859375,21.421875
conceptual_physics,144,235,be22cad92eeb37f3,3,3,1,22.328125,22.203125,22.125,28.015625
econometrics,25,114,874873421ce5dbfc,0,0,1,27.421875,21.171875,22.375,22.6875
electrical_engineering,112,145,a58c01a15e39c50b,1,1,1,21.78125,27.84375,22.140625,22.53125
elementary_mathematics,197,378,1531c1ab81cd9238,1,1,1,20.46875,30.15625,21.40625,21.828125
formal_logic,123,126,db4ebe4b5f7e4719,0,1,0,21.703125,23.71875,23.4375,23.359375
global_facts,82,100,12e44fc450597628,0,0,1,25.890625,25.4375,22.953125,22
high_school_biology,250,310,a70aeafa49ef3b92,2,2,1,20.390625,21.671875,27.078125,22.21875
high_school_chemistry,146,203,f7da8f416b5734f0,1,1,1,21.75,24.328125,23.328125,23.1875
high_school_computer_science,80,100,510e9595f8a75139,0,0,1,27.625,20.296875,21.828125,24.046875
high_school_european_history,38,165,ecc8b831df4140f0,1,3,0,20.671875,25.765625,20.296875,25.859375
high_school_geography,5,198,0d08c0603e24f7f6,3,3,1,21,20.859375,21.484375,29.6875
high_school_government_and_politics,114,193,3b22dfed73cfeece,3,3,1,24.875,20.6875,21.15625,27.953125
high_school_macroeconomics,139,390,735d9f6bb911e297,3,3,1,19.78125,23.890625,22.28125,28.75
high_school_mathematics,150,270,373456d6befada6c,2,3,0,22.484375,23.53125,22.140625,23.640625
high_school_microeconomics,190,238,31600cf8609b9447,0,0,1,26.28125,22.53125,21.640625,23.84375
high_school_physics,27,151,c12edae19c94ad61,2,2,1,21.90625,22.625,23.8125,22.875
high_school_psychology,337,545,18f43da3db62ee68,3,3,1,23.515625,21.625,20.671875,28.015625
high_school_statistics,40,216,b179b45e535c0252,3,3,1,19.265625,24.078125,22.046875,25.34375
high_school_us_history,16,204,e027f369f26cbb23,1,1,1,20.125,26.984375,21.953125,23.875
high_school_world_history,53,237,4f746abd69ecfdd6,1,1,1,21.65625,29.15625,22.578125,22.484375
human_aging,63,223,6511b7e313cecf97,1,1,1,22.078125,29.578125,23.421875,23.109375
human_sexuality,89,131,9924e13639095c20,1,3,0,23.421875,24.546875,23.234375,24.65625
international_law,57,121,c34fa8dd62543111,0,1,0,25.03125,25.296875,24.625,22.875
