# llvq-mmlu-dump v1
# model=/out/dclm-8b-ft-2026-09-21/qwen3-8b-dclm-ft.bin [LLVQ 2-bit, SERVED KERNEL, tetra48]
# dtype=f16
# limit=1
# alloc=flat, 1 per subject, 57 questions
# config=/out/served-8b-full-2026-09-21/qwen3-8b-tetra-q5.json
# arithmetic=served kernel
# layout=tetra48
# embed=q8
# rot_share=1
# fuse=0
# kv=f16
subject,index,population,qhash,answer,pick,correct,logit_a,logit_b,logit_c,logit_d
abstract_algebra,40,100,bec320bbf00fda34,2,2,1,20.71875,23.359375,24.734375,19
anatomy,20,135,56bdf90594a1d00c,2,2,1,21.21875,22.09375,27.953125,20.21875
astronomy,8,152,b6c916da603fa2b8,3,0,0,24.328125,22.21875,18.578125,23.53125
business_ethics,57,100,53c51fbb11da5461,0,0,1,26.859375,19.171875,22.265625,21.203125
clinical_knowledge,117,265,7ea4604509044a88,2,2,1,21.90625,22.046875,27.625,21.296875
college_biology,115,144,2dd35f04114bdde2,3,3,1,19.28125,20.65625,24.359375,26.140625
college_chemistry,82,100,3f4c9e03892b6f41,3,2,0,22.0625,21.421875,22.171875,21.671875
college_computer_science,83,100,6faa8d54f393ea32,0,0,1,28.53125,23.4375,22.796875,22.265625
college_mathematics,26,100,b40cfbc62efb6a95,3,3,1,19.046875,20.78125,21.0625,23.609375
college_medicine,141,173,b90e1323922cd9bd,2,2,1,23.265625,21.46875,27.203125,21.3125
college_physics,38,102,e6af13c87b3f3eb9,2,2,1,20.953125,21.984375,24.46875,20.796875
computer_security,82,100,6b39a70cec966a2d,0,0,1,28.40625,20.84375,21,20.34375
conceptual_physics,144,235,be22cad92eeb37f3,3,3,1,21.359375,22.375,21.859375,26.21875
econometrics,25,114,874873421ce5dbfc,0,0,1,27.65625,21.984375,22.484375,22.984375
electrical_engineering,112,145,a58c01a15e39c50b,1,1,1,22.84375,25.0625,21.4375,20.734375
elementary_mathematics,197,378,1531c1ab81cd9238,1,1,1,21.234375,29.8125,21.875,21.421875
formal_logic,123,126,db4ebe4b5f7e4719,0,2,0,21.046875,22.375,23.515625,22.703125
global_facts,82,100,12e44fc450597628,0,0,1,21.46875,21.359375,19.984375,18.90625
high_school_biology,250,310,a70aeafa49ef3b92,2,2,1,19.953125,20.953125,28.421875,21.25
high_school_chemistry,146,203,f7da8f416b5734f0,1,1,1,23.34375,23.734375,21.625,21.1875
high_school_computer_science,80,100,510e9595f8a75139,0,0,1,27.765625,22.546875,21.34375,23.171875
high_school_european_history,38,165,ecc8b831df4140f0,1,3,0,21.265625,24.65625,20.375,27.828125
high_school_geography,5,198,0d08c0603e24f7f6,3,3,1,23.5,22.203125,21.0625,26.96875
high_school_government_and_politics,114,193,3b22dfed73cfeece,3,3,1,19.671875,20.28125,21.34375,28.21875
high_school_macroeconomics,139,390,735d9f6bb911e297,3,3,1,18.765625,20.8125,20.59375,26.15625
high_school_mathematics,150,270,373456d6befada6c,2,3,0,21.5,22.609375,22.359375,23.875
high_school_microeconomics,190,238,31600cf8609b9447,0,0,1,26.296875,23.6875,21.09375,21.09375
high_school_physics,27,151,c12edae19c94ad61,2,2,1,20.109375,20.6875,23.75,21.796875
high_school_psychology,337,545,18f43da3db62ee68,3,3,1,21.96875,19,19.15625,26.265625
high_school_statistics,40,216,b179b45e535c0252,3,3,1,21.28125,22.015625,22.25,28.46875
high_school_us_history,16,204,e027f369f26cbb23,1,2,0,20.578125,23.40625,26.6875,21.421875
high_school_world_history,53,237,4f746abd69ecfdd6,1,1,1,21.90625,27.3125,23.328125,22.375
human_aging,63,223,6511b7e313cecf97,1,1,1,19.578125,27.125,21.109375,19.09375
human_sexuality,89,131,9924e13639095c20,1,1,1,19.09375,25.125,20.015625,22.46875
international_law,57,121,c34fa8dd62543111,0,0,1,25.671875,24.25,22.453125,19.5625
